Peak Reduction,ESR,,,Threshold (dB),Ratio,Attack (ms),Release (ms), Make-up Gain (dB)
,GT,Linear Interpolation,Spline Interpolation,,,,,
40,0.08429848402738571,,,-13.075952529907227,5.435610294342041,30.516525268554688,470.176513671875,0.697806715965271
45,0.08019973337650299,0.08027561008930206,0.08039636588626473,-14.217720985412598,4.510651588439941,17.315229415893555,371.4613342285156,0.6503340005874634
50,0.07641444355249405,,,-15.320412635803223,4.193428039550781,11.579639434814453,324.1263427734375,0.6253266930580139
55,0.07381049543619156,0.07382042706012726,0.073881565979879,-16.131834030151367,4.151314735412598,8.878186225891113,300.0677795410156,0.6053885817527771
60,0.07156867533922195,,,-16.88168716430664,4.212928295135498,7.19603967666626,283.0182189941406,0.5758121609687805
65,0.07038611173629761,0.07373050600290298,0.07299227778366352,-17.586275100708008,4.265491962432861,5.948177814483643,266.1832580566406,0.5347366333007812
70,0.06641649454832077,,,-19.835796356201172,4.289010047912598,3.8497214317321777,254.91220092773438,0.4238012433052063
75,0.0657450258731842,0.06577764451503754,0.06643677583342704,-21.904220581054688,4.237095355987549,2.8647751808166504,242.99441528320312,0.33676016330718994
80,0.06697257608175278,,,-24.04867935180664,4.137104511260986,2.2430710792541504,234.94378662109375,0.29632773995399475
85,0.06729354709386826,0.06733552366495132,0.06733670917743506,-27.549327850341797,3.9736087322235107,1.7689090967178345,248.10983276367188,0.047231659293174744
90,0.08108959347009659,,,-31.510976791381836,3.874948501586914,1.265961766242981,245.48947143554688,0.03817363455891609
95,0.09212726354598999,0.09276829659938812,0.09729300034826005,-33.69828796386719,3.791938066482544,1.0862258672714233,244.5567626953125,0.1468079835176468
100,0.10152270644903183,,,-35.34008026123047,3.711195945739746,0.9788835048675537,244.128662109375,0.3002852201461792
