Peak Reduction,ESR,,,Threshold (dB),Ratio,Attack (ms),Release (ms), Make-up Gain (dB)
,GT,Linear Interpolation,Spline Interpolation,,,,,
40,0.0845898985862732,,,-12.927042961120605,6.511876583099365,34.9532585144043,450.67974853515625,0.7328264117240906
45,0.07984044402837753,0.08011198788881302,0.07994262544565658,-14.168609619140625,4.7533416748046875,17.140609741210938,350.7540283203125,0.6642460227012634
50,0.07453702390193939,,,-15.303581237792969,4.407552719116211,11.43269157409668,302.6725769042969,0.6261841058731079
55,0.07316972315311432,0.0732213705778122,0.07322202587999907,-16.005937576293945,4.388558387756348,8.920721054077148,284.55804443359375,0.602465033531189
60,0.07146070152521133,,,-16.920991897583008,4.4896087646484375,6.798874378204346,269.3534240722656,0.5653380155563354
65,0.06981677561998367,0.07321125268936157,0.07250500724522004,-17.654096603393555,4.59498929977417,5.717840671539307,258.5350341796875,0.5199187397956848
70,0.06679098308086395,,,-19.92206573486328,4.652866363525391,3.6811776161193848,246.35675048828125,0.4087653160095215
75,0.06654153019189835,0.06673727929592133,0.06771213337799456,-22.056045532226562,4.640170097351074,2.7373666763305664,238.0178985595703,0.32971465587615967
80,0.06807190924882889,,,-24.036930084228516,4.611164093017578,2.213550567626953,233.04624938964844,0.29381534457206726
85,0.07494278997182846,0.07518872618675232,0.07501167075244622,-27.528459548950195,4.570751190185547,1.6432621479034424,233.04624938964844,0.23869140446186066
90,0.08973312377929688,,,-31.49081039428711,4.547694206237793,1.234323501586914,243.91519165039062,0.20797717571258545
95,0.1010926142334938,0.10193706303834915,0.10674100584286522,-33.483543395996094,4.520030498504639,1.0648689270019531,251.61624145507812,0.242126926779747
100,0.11086296290159225,,,-34.903114318847656,4.471458435058594,0.9657101035118103,256.3176574707031,0.3162499666213989
