Method,Mode,Peak Value,ESR,LDR
4A2A,0,40,0.08431958211436547,-0.07256499578974296
4A2A,0,45,0.08021785061696522,-0.08955792585907751
4A2A,0,55,0.07382323737194353,-0.11171400607597182
4A2A,0,60,0.07158392354601235,-0.10853077908658637
4A2A,0,65,0.07040177688550578,-0.10002709914023544
4A2A,0,70,0.0664272090917477,-0.08703673714803184
4A2A,0,75,0.06575876775729927,-0.0696294953013945
4A2A,0,80,0.06698094078053064,-0.06107006855331054
4A2A,0,85,0.067301164117665,-0.03799744746519096
4A2A,0,90,0.08110419075522764,-0.012302291347223715
4A2A,0,95,0.09214918385224666,0.004418507419722939
4A2A,0,100,0.10153961044893617,0.009764254027156305
4A2A,1,40,0.08461039490266756,-0.0696200296811682
4A2A,1,45,0.07985865445889391,-0.08675778613119611
4A2A,1,50,0.07455173813008843,-0.10216966243087189
4A2A,1,55,0.07318240040687968,-0.1074747223323822
4A2A,1,60,0.0714747208638496,-0.107381467666114
4A2A,1,65,0.06983307447655222,-0.09663456345456556
4A2A,1,75,0.06655646659292774,-0.06569920105482652
4A2A,1,80,0.06808108642846435,-0.056616576463588864
4A2A,1,85,0.07495667913103371,-0.03581252901569609
4A2A,1,90,0.08974961262865931,-0.006778046717559327
4A2A,1,95,0.10111541405866463,0.0050414355745065365
4A2A,1,100,0.11087938229370818,0.009568706287371942
4A2A,0,50,0.07643355749251343,-0.10555986777303605
4A2A,1,70,0.06680279241969636,-0.08086148546397531
4A2A+GRU,0,40,0.019019026524935527,0.0012571683996567273
4A2A+GRU,0,45,0.019034296367683102,-0.023368490458021363
4A2A+GRU,0,55,0.01968631487987734,-0.06099438806471902
4A2A+GRU,0,60,0.02029929238743144,-0.06425226483769286
4A2A+GRU,0,65,0.021472344470316384,-0.06175128544710695
4A2A+GRU,0,70,0.024199587812405533,-0.06460410517949722
4A2A+GRU,0,75,0.027698890108551835,-0.058049637385501285
4A2A+GRU,0,80,0.031313735232394675,-0.05681756765638912
4A2A+GRU,0,85,0.038419153647960995,-0.03996311002852426
4A2A+GRU,0,90,0.05040700722330894,-0.015963899246614233
4A2A+GRU,0,95,0.05903785503329093,0.0024954936055507915
4A2A+GRU,0,100,0.06698803912999651,0.01037451023923186
4A2A+GRU,1,40,0.0192106740611818,0.005108528744504959
4A2A+GRU,1,45,0.019121006060524248,-0.020695292075161298
4A2A+GRU,1,50,0.019398657071300864,-0.04492446824788843
4A2A+GRU,1,55,0.019861789687850757,-0.05649128141120219
4A2A+GRU,1,60,0.020833069565052105,-0.06456390509808685
4A2A+GRU,1,65,0.021836949738817685,-0.059918830981825266
4A2A+GRU,1,75,0.029169649275511817,-0.056035879164100244
